"Spiel-ID","Game-ID","Teamname","Gegner","Club","Spieler 1","Pins 1","Pins Gegner 1","EDV 1","Spieler 2","Pins 2","Pins Gegner 2","EDV 2","Spieler 3","Pins 3","Pins Gegner 3","EDV 3","Spieler 4","Pins 4","Pins Gegner 4","EDV 4","Pins Gesamt","Pins Gegner","Checksumme","check","Prüfnummer","Eintrags-ID","Datum des Eintrags","Aktualisierungsdatum"
"Spt5 - Donaubowler  1 - Sp.2","BAYL-M-521","Donaubowler Regensburg 1","BC EMAX Unterföhring 2","BC Donau - Bowler","Radecker Sebastian","203","179","38025","Hartfeil Volkmar","205","178","7830","Seltmann Dominik","163","192","25604","Hürdler Marco","220","223","25271","791","772","415838","1","415838","31033","2026-02-28 11:35:58","2026-02-28 10:35:58"
"Spt5 - BC EMAX  2 - Sp.2","BAYL-M-521","BC EMAX Unterföhring 2","Donaubowler Regensburg 1","BC EMAX","Fliegner Torsten","179","203","7418","Pirzer Robert","178","205","7428","Fliegner Selim","192","163","38673","Blasits Ernst","223","220","25554","772","791","283360","1","283360","31032","2026-02-28 11:35:26","2026-02-28 10:35:26"
"Spt5 - BC EMAX  2 - Sp.1","BAYL-M-514","BC EMAX Unterföhring 2","Bajuwaren München 1","BC EMAX","Fliegner Torsten","161","125","7418","Pirzer Robert","189","145","7428","Fliegner Selim","187","165","38673","Blasits Ernst","168","188","25554","705","623","215333","0","23571113","31031","2026-02-28 11:07:23","2026-02-28 10:07:23"
"Spt5 - BC Comet  - Sp.1","BAYL-M-515","BC Comet Nürnberg","BK München 3","Comet","Schick Andreas","203","234","7102","Mittelmaier Andreas","184","168","16896","Schlick Christian","161","163","7724","Schlundt Michael","186","238","7725","734","803","438041","1","438041","31030","2026-02-28 10:51:23","2026-02-28 09:51:23"
"Spt5 - BK München 3 - Sp.1","BAYL-M-515","BK München 3","BC Comet Nürnberg","BK München","Börding Peter","234","203","7593","Börding Daniel","168","184","7591","Laub Harald","163","161","7597","Hinterwimmer Sebastian","238","186","7885","803","734","274754","1","274754","31029","2026-02-28 10:50:59","2026-02-28 09:50:59"
"Spt5 - Bowlinghaus  1 - Sp.1","BAYL-M-511","Bowlinghaus Bamberg 1","Schanzer Ingolstadt 1","BC Bamberger Bowlinghaus","Nolan Jonathan","151","158","16873","Burghardt Mario","156","136","12248","Trapphardt Bernd","170","174","16559","Renner Alexander","194","265","16251","671","733","739517","1","739517","31028","2026-02-28 10:50:20","2026-02-28 09:50:20"
"Spt5 - Schanzer  1 - Sp.1","BAYL-M-511","Schanzer Ingolstadt 1","Bowlinghaus Bamberg 1","BC Schanzer Strikers","Schütze Oliver","158","151","38550","Kirschenbauer Frank","136","156","7344","Schmied Markus","174","170","38361","Spielvogel Jochen","265","194","7348","733","671","536551","1","536551","31027","2026-02-28 10:50:05","2026-02-28 09:50:05"
"Spt5 - Donaubowler  1 - Sp.1","BAYL-M-512","Donaubowler Regensburg 1","Werdenfels 1","BC Donau - Bowler","Radecker Sebastian","198","224","38025","Hartfeil Volkmar","187","190","7830","Seltmann Dominik","225","180","25604","Hürdler Marco","192","233","25271","802","827","555875","1","555875","31026","2026-02-28 10:47:49","2026-02-28 09:47:49"
"Spt5 - Bajuwaren  1 - Sp.1","BAYL-M-514","Bajuwaren München 1","BC EMAX Unterföhring 2","BC Bajuwaren","Glasl Hans-Jürgen","125","161","7408","Lehmann Torsten","145","189","7411","Reichert Ralph","165","187","7416","Lüthje Volker","188","168","7601","623","705","463324","0","23571113","31025","2026-02-28 10:47:47","2026-02-28 10:11:15"
"Spt5 - Werdenfels 1 - Sp.1","BAYL-M-512","Werdenfels 1","Donaubowler Regensburg 1","BC Werdenfels","Kammermeier Maximilian","224","198","25822","Ring Michael","190","187","7317","Kral Ewald","180","225","7309","Hellmich Daniel","233","192","7314","827","802","831540","1","831540","31024","2026-02-28 10:47:40","2026-02-28 09:47:40"
"Spt5 - SG DJK Rimpar 1 - Sp.1","BAYL-M-513","SG DJK Rimpar 1","SG Rottendorf 1","DJK Rimpar","Kreß Michael","227","154","10622","Wunderlich Henning","160","191","38018","Scholz Alexander","259","202","16352","Werder Jan-Uwe","221","213","16301","867","760","500658","1","500658","31023","2026-02-28 10:46:22","2026-02-28 09:46:22"
"Spt5 - SG Rottendorf 1 - Sp.1","BAYL-M-513","SG Rottendorf 1","SG DJK Rimpar 1","SG-Rottendorf","Büttner Christian","154","227","16862","Reichardt Stefan","191","160","16945","Wörrlein Jonas","202","259","25199","Stemmler Patrick","213","221","16495","760","867","829058","1","829058","31022","2026-02-28 10:46:19","2026-02-28 09:46:19"
"BAYL-M-491_Re","BAYL-M-491","SG Rottendorf 1","Bajuwaren München 1","","Christian Büttner","142","183","16862","Stefan Reichardt","177","211","16945","Tim Meier","222","192","38545","Patrick Stemmler","160","204","16495","701","790","","0","332167","28952","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-495_Re","BAYL-M-495","SG DJK Rimpar 1","Donaubowler Regensburg 1","","Michael Kreß","208","228","10622","Alexander Scholz","201","180","16352","Nico Plaschka","203","183","38039","Sebastian Boé","208","190","16287","820","781","","0","23571113","28951","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-493_Re","BAYL-M-493","Schanzer Ingolstadt 1","BK München 3","","Oliver Schütze","148","200","38550","Thomas Hartl","172","198","38411","Markus Schmied","183","237","38361","Jochen Spielvogel","279","223","7348","782","858","","0","497106","28950","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-494_Re","BAYL-M-494","Bowlinghaus Bamberg 1","Werdenfels 1","","William Karl","230","235","16532","Mario Burghardt","184","203","12248","Bernd Trapphardt","210","207","16559","Alexander Renner","215","210","16251","839","855","","0","227739","28949","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-492_Re","BAYL-M-492","BC EMAX Unterföhring 2","BC Comet Nürnberg","","Sebastian Lohse","207","222","27134","Marco Probst","203","213","7602","Günter Denz","211","184","16398","Robert Pirzer","159","244","7428","780","863","","0","526875","28948","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-481_Re","BAYL-M-481","BK München 3","Donaubowler Regensburg 1","","Georg Hinterwimmer","171","200","7867","Harald Laub","163","173","7597","Daniel Börding","225","195","7591","Sebastian Hinterwimmer","205","216","7885","764","784","","0","966319","28947","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-485_Re","BAYL-M-485","Schanzer Ingolstadt 1","Werdenfels 1","","Oliver Schütze","191","226","38550","Thomas Hartl","182","170","38411","Markus Schmied","228","201","38361","Jochen Spielvogel","179","160","7348","780","757","","0","23571113","28946","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-483_Re","BAYL-M-483","BC Comet Nürnberg","SG DJK Rimpar 1","","Jan Schwarz","186","193","7734","Christian Schlick","216","211","7724","Andreas Mittelmaier","224","149","16896","Michael Schlundt","236","232","7725","862","785","","0","600719","28945","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-482_Re","BAYL-M-482","Bowlinghaus Bamberg 1","Bajuwaren München 1","","William Karl","234","182","16532","Mario Burghardt","201","173","12248","Bernd Trapphardt","243","183","16559","Alexander Renner","191","235","16251","869","773","","0","497160","28944","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-484_Re","BAYL-M-484","SG Rottendorf 1","BC EMAX Unterföhring 2","","Christian Büttner","215","245","16862","Stefan Reichardt","205","218","16945","Tim Meier","212","225","38545","Patrick Stemmler","207","195","16495","839","883","","0","634298","28943","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-472_Re","BAYL-M-472","Werdenfels 1","SG Rottendorf 1","","Maximilian Kammermeier","141","192","25822","Michael Ring","244","173","7317","Jan Musiol","232","200","25166","Daniel Hellmich","185","228","7314","802","793","","0","494269","28942","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-465_Re","BAYL-M-465","SG Rottendorf 1","Bowlinghaus Bamberg 1","","Christian Büttner","168","161","16862","Stefan Reichardt","168","183","16945","Tim Meier","216","233","38545","Patrick Stemmler","165","191","16495","717","768","","0","129222","28941","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-473_Re","BAYL-M-473","Donaubowler Regensburg 1","Bowlinghaus Bamberg 1","","Christian Feller","169","182","16007","Dominik Seltmann","172","159","25604","Volkmar Hartfeil","189","191","7830","Marco Hürdler","226","247","25271","756","779","","0","221662","28940","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-475_Re","BAYL-M-475","BC EMAX Unterföhring 2","Bajuwaren München 1","","Sebastian Lohse","193","235","27134","Marco Probst","228","178","7602","Günter Denz","222","222","16398","Robert Pirzer","197","183","7428","840","818","","0","23571113","28939","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-474_Re","BAYL-M-474","SG DJK Rimpar 1","BK München 3","","Michael Kreß","180","203","10622","Alexander Scholz","200","258","16352","Henning Wunderlich","191","199","38018","Sebastian Boé","234","208","16287","805","868","","0","23571113","28938","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-471_Re","BAYL-M-471","BC Comet Nürnberg","Schanzer Ingolstadt 1","","Jan Schwarz","244","207","7734","Christian Schlick","198","180","7724","Andreas Mittelmaier","223","182","16896","Michael Schlundt","214","189","7725","879","758","","0","142942","28937","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-462_Re","BAYL-M-462","BC Comet Nürnberg","BK München 3","","Jan Schwarz","217","161","7734","Christian Schlick","216","195","7724","Andreas Mittelmaier","246","211","16896","Michael Schlundt","193","190","7725","872","757","","0","645091","28936","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-464_Re","BAYL-M-464","Donaubowler Regensburg 1","Schanzer Ingolstadt 1","","Christian Feller","213","202","16007","Dominik Seltmann","245","234","25604","Volkmar Hartfeil","247","168","7830","Marco Hürdler","255","250","25271","960","854","","0","23571113","28935","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-463_Re","BAYL-M-463","Werdenfels 1","BC EMAX Unterföhring 2","","Maximilian Kammermeier","216","258","25822","Michael Ring","224","184","7317","Bruno Gärtner","193","257","25649","Daniel Hellmich","245","198","7314","878","897","","0","136316","28934","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-461_Re","BAYL-M-461","Bajuwaren München 1","SG DJK Rimpar 1","","Hans-Jürgen Glasl","247","224","7408","Hans-Jürgen Glasl sen.","136","203","16762","Ralph Reichert","183","201","7416","Volker Lüthje","172","220","7601","738","848","","0","378581","28933","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-453_Re","BAYL-M-453","SG Rottendorf 1","Schanzer Ingolstadt 1","","Christian Büttner","210","190","16862","Stefan Reichardt","192","244","16945","Tim Meier","215","175","38545","Patrick Stemmler","208","218","16495","825","827","","0","297323","28932","2026-02-15 10:48:32","2026-02-15 09:48:32"
"BAYL-M-451_Re","BAYL-M-451","Bowlinghaus Bamberg 1","BK München 3","","William Karl","203","159","16532","Mario Burghardt","204","192","12248","Thomas Nikoleit","158","168","25516","Alexander Renner","217","243","16251","782","762","","0","579459","28931","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-452_Re","BAYL-M-452","Donaubowler Regensburg 1","BC EMAX Unterföhring 2","","Christian Feller","201","196","16007","Dominik Seltmann","210","214","25604","Volkmar Hartfeil","203","191","7830","Marco Hürdler","212","185","25271","826","786","","0","374785","28930","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-454_Re","BAYL-M-454","Bajuwaren München 1","BC Comet Nürnberg","","Hans-Jürgen Glasl","249","232","7408","Hans-Jürgen Glasl sen.","203","233","16762","Ralph Reichert","190","191","7416","Volker Lüthje","186","204","7601","828","860","","0","380522","28929","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-455_Re","BAYL-M-455","Werdenfels 1","SG DJK Rimpar 1","","Maximilian Kammermeier","182","234","25822","Michael Ring","193","172","7317","Bruno Gärtner","183","169","25649","Daniel Hellmich","199","181","7314","757","756","","0","23571113","28928","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-441_Re","BAYL-M-441","Schanzer Ingolstadt 1","BC EMAX Unterföhring 2","","Oliver Schütze","155","181","38550","Thomas Hartl","212","203","38411","Markus Schmied","210","182","38361","Jochen Spielvogel","189","170","7348","766","736","","0","580278","28927","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-444_Re","BAYL-M-444","Werdenfels 1","Donaubowler Regensburg 1","","Bruno Gärtner","185","201","25649","Michael Ring","201","195","7317","Jan Musiol","160","179","25166","Daniel Hellmich","216","166","7314","762","741","","0","829956","28926","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-443_Re","BAYL-M-443","BK München 3","Bajuwaren München 1","","Patrick Baszler","207","193","7886","Harald Laub","204","179","7597","Maximilian Hellmessen","239","193","16912","Sebastian Hinterwimmer","233","177","7885","883","742","","0","106417","28925","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-442_Re","BAYL-M-442","SG DJK Rimpar 1","Bowlinghaus Bamberg 1","","Michael Kreß","202","205","10622","Marc Weissenseel","181","183","38723","Henning Wunderlich","235","201","38018","Sebastian Boé","228","184","16287","846","773","","0","931354","28924","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-445_Re","BAYL-M-445","BC Comet Nürnberg","SG Rottendorf 1","","Jan Schwarz","207","213","7734","Andreas Schick","226","167","7102","Christian Schlick","186","254","7724","Michael Schlundt","235","201","7725","854","835","","0","276355","28923","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-432_Re","BAYL-M-432","BK München 3","Werdenfels 1","","Patrick Baszler","187","191","7886","Harald Laub","165","222","7597","Maximilian Hellmessen","235","218","16912","Sebastian Hinterwimmer","220","214","7885","807","845","","0","781250","28922","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-435_Re","BAYL-M-435","Bajuwaren München 1","Schanzer Ingolstadt 1","","Hans-Jürgen Glasl","161","199","7408","Hans-Jürgen Glasl sen.","183","203","16762","Ralph Reichert","221","224","7416","Volker Lüthje","170","236","7601","735","862","","0","861560","28921","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-434_Re","BAYL-M-434","BC EMAX Unterföhring 2","SG DJK Rimpar 1","","Sebastian Lohse","152","166","27134","Günter Denz","171","152","16398","Robert Pirzer","180","200","7428","Ernst Blasits","171","170","25554","674","688","","0","331439","28920","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-431_Re","BAYL-M-431","Donaubowler Regensburg 1","SG Rottendorf 1","","Christian Feller","184","225","16007","Dominik Seltmann","188","156","25604","Volkmar Hartfeil","208","201","7830","Marco Hürdler","156","244","25271","736","826","","0","888023","28919","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-433_Re","BAYL-M-433","Bowlinghaus Bamberg 1","BC Comet Nürnberg","","Mario Burghardt","194","172","12248","Bernd Trapphardt","204","173","16559","Thomas Nikoleit","171","227","25516","Alexander Renner","213","258","16251","782","830","","0","138041","28918","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-423_Re","BAYL-M-423","SG DJK Rimpar 1","SG Rottendorf 1","","Michael Kreß","168","180","10622","Nico Plaschka","170","190","38039","Henning Wunderlich","170","232","38018","Sebastian Boé","180","188","16287","688","790","","0","917141","28917","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-425_Re","BAYL-M-425","BK München 3","BC EMAX Unterföhring 2","","Patrick Baszler","255","133","7886","Georg Hinterwimmer","177","161","7867","Maximilian Hellmessen","180","168","16912","Sebastian Hinterwimmer","238","197","7885","850","659","","0","674242","28916","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-422_Re","BAYL-M-422","Bajuwaren München 1","Donaubowler Regensburg 1","","Hans-Jürgen Glasl","187","192","7408","Hans-Jürgen Glasl sen.","162","215","16762","Ralph Reichert","201","215","7416","Volker Lüthje","121","190","7601","671","812","","0","926048","28915","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-424_Re","BAYL-M-424","Schanzer Ingolstadt 1","Bowlinghaus Bamberg 1","","Oliver Schütze","234","161","38550","Thomas Hartl","221","175","38411","Markus Schmied","162","190","38361","Jochen Spielvogel","203","202","7348","820","728","","0","120722","28914","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-421_Re","BAYL-M-421","Werdenfels 1","BC Comet Nürnberg","","Maximilian Kammermeier","191","259","25822","Michael Ring","200","193","7317","Bruno Gärtner","185","210","25649","Daniel Hellmich","231","191","7314","807","853","","0","653564","28913","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-411_Re","BAYL-M-411","BC EMAX Unterföhring 2","Bowlinghaus Bamberg 1","","Sebastian Lohse","245","168","27134","Selim Fliegner","143","193","38673","Marco Probst","151","219","7602","Ernst Blasits","164","203","25554","703","783","","0","575921","28912","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-414_Re","BAYL-M-414","BK München 3","SG Rottendorf 1","","Patrick Baszler","184","179","7886","Georg Hinterwimmer","182","237","7867","Maximilian Hellmessen","160","194","16912","Sebastian Hinterwimmer","266","169","7885","792","779","","0","421656","28911","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-412_Re","BAYL-M-412","Schanzer Ingolstadt 1","SG DJK Rimpar 1","","Oliver Schütze","183","203","38550","Thomas Hartl","179","202","38411","Markus Schmied","147","226","38361","Jochen Spielvogel","125","199","7348","634","830","","0","23571113","28910","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-415_Re","BAYL-M-415","Donaubowler Regensburg 1","BC Comet Nürnberg","","Christian Feller","211","214","16007","Dominik Seltmann","243","180","25604","Volkmar Hartfeil","201","202","7830","Marco Hürdler","191","237","25271","846","833","","0","249093","28909","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-413_Re","BAYL-M-413","Bajuwaren München 1","Werdenfels 1","","Hans-Jürgen Glasl","225","256","7408","Dennis Lüthje","141","189","7600","Ralph Reichert","215","214","7416","Volker Lüthje","193","206","7601","774","865","","0","637900","28908","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-111_Re","BAYL-M-111","Bajuwaren München 1","BK München 3","","Hans-Jürgen Glasl","180","145","7408","Dennis Lüthje","139","208","7600","Ralph Reichert","177","174","7416","Volker Lüthje","155","177","7601","651","704","","0","23571113","28907","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-112_Re","BAYL-M-112","Donaubowler Regensburg 1","Schanzer Ingolstadt 1","","Christian Feller","154","195","16007","Dominik Seltmann","233","179","25604","Volkmar Hartfeil","170","105","7830","Marco Hürdler","169","166","25271","726","645","","0","23571113","28906","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-113_Re","BAYL-M-113","SG DJK Rimpar 1","BC Comet Nürnberg","","Nico Plaschka","167","180","38039","Sebastian Gräfe","154","225","38687","Michael Kreß","223","167","10622","Jan-Uwe Werder","181","212","16301","725","784","","0","23571113","28905","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-114_Re","BAYL-M-114","Bowlinghaus Bamberg 1","SG Rottendorf 1","","William Karl","156","184","16532","Jonathan Nolan","169","148","16873","Thomas Nikoleit","172","158","25516","Alexander Renner","168","194","16251","665","684","","0","23571113","28904","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-115_Re","BAYL-M-115","Werdenfels 1","BC EMAX Unterföhring 2","","Maximilian Kammermeier","162","158","25822","Jan Musiol","156","156","25166","Bruno Gärtner","143","219","25649","Daniel Hellmich","188","171","7314","649","704","","0","23571113","28903","2026-02-15 10:48:31","2026-02-15 09:48:31"
"BAYL-M-121_Re","BAYL-M-121","SG DJK Rimpar 1","Donaubowler Regensburg 1","","Nico Plaschka","190","150","38039","Sebastian Gräfe","155","160","38687","Michael Kreß","199","182","10622","Jan-Uwe Werder","158","174","16301","702","666","","0","23571113","28902","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-122_Re","BAYL-M-122","BC Comet Nürnberg","Werdenfels 1","","Andreas Mittelmaier","139","182","16896","Christian Schlick","201","153","7724","Michael Schlundt","172","165","7725","Jan Schwarz","220","160","7734","732","660","","0","23571113","28901","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-123_Re","BAYL-M-123","Bowlinghaus Bamberg 1","Bajuwaren München 1","","William Karl","223","198","16532","Jonathan Nolan","191","184","16873","Bernd Trapphardt","192","172","16559","Alexander Renner","196","165","16251","802","719","","0","23571113","28900","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-124_Re","BAYL-M-124","Schanzer Ingolstadt 1","BC EMAX Unterföhring 2","","Oliver Schütze","196","168","38550","Thomas Hartl","152","164","38411","Michael Klapper","134","168","25024","Markus Schmied","199","203","38361","681","703","","0","23571113","28899","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-125_Re","BAYL-M-125","SG Rottendorf 1","BK München 3","","Christian Büttner","179","158","16862","Stefan Reichardt","171","192","16945","Alexander Scholz","145","171","16352","Patrick Stemmler","183","190","16495","678","711","","0","23571113","28898","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-131_Re","BAYL-M-131","Werdenfels 1","SG Rottendorf 1","","Maximilian Kammermeier","224","166","25822","Jan Musiol","192","173","25166","Bruno Gärtner","174","215","25649","Daniel Hellmich","248","180","7314","838","734","","0","23571113","28897","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-132_Re","BAYL-M-132","SG DJK Rimpar 1","BC EMAX Unterföhring 2","","Nico Plaschka","156","176","38039","Sebastian Gräfe","170","141","38687","Michael Kreß","181","179","10622","Jan-Uwe Werder","156","196","16301","663","692","","0","23571113","28896","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-133_Re","BAYL-M-133","BK München 3","Schanzer Ingolstadt 1","","Patrick Baszler","170","202","7886","Maximilian Hellmessen","228","177","16912","Harald Laub","151","177","7597","Sebastian Hinterwimmer","228","167","7885","777","723","","0","23571113","28895","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-134_Re","BAYL-M-134","Bajuwaren München 1","BC Comet Nürnberg","","Hans-Jürgen Glasl","173","206","7408","Hans-Jürgen Glasl sen.","201","227","16762","Dennis Lüthje","142","184","7600","Ralph Reichert","211","184","7416","727","801","","0","23571113","28894","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-135_Re","BAYL-M-135","Donaubowler Regensburg 1","Bowlinghaus Bamberg 1","","Christian Feller","214","214","16007","Dominik Seltmann","191","190","25604","Volkmar Hartfeil","200","144","7830","Marco Hürdler","168","190","25271","773","738","","0","23571113","28893","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-141_Re","BAYL-M-141","Schanzer Ingolstadt 1","Bajuwaren München 1","","Oliver Schütze","189","199","38550","Thomas Hartl","186","131","38411","Michael Klapper","188","173","25024","Markus Schmied","211","181","38361","774","684","","0","23571113","28892","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-142_Re","BAYL-M-142","BK München 3","Bowlinghaus Bamberg 1","","Patrick Baszler","181","186","7886","Maximilian Hellmessen","228","199","16912","Peter Börding","228","176","7593","Sebastian Hinterwimmer","180","166","7885","817","727","","0","23571113","28891","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-143_Re","BAYL-M-143","Werdenfels 1","SG DJK Rimpar 1","","Maximilian Kammermeier","172","160","25822","Jan Musiol","182","201","25166","Bruno Gärtner","179","191","25649","Daniel Hellmich","183","191","7314","716","743","","0","23571113","28890","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-144_Re","BAYL-M-144","SG Rottendorf 1","Donaubowler Regensburg 1","","Christian Büttner","204","222","16862","Stefan Reichardt","133","169","16945","Alexander Scholz","155","160","16352","Patrick Stemmler","186","169","16495","678","720","","0","23571113","28889","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-145_Re","BAYL-M-145","BC EMAX Unterföhring 2","BC Comet Nürnberg","","Sebastian Lohse","172","242","27134","Ernst Blasits","184","157","25554","Günter Denz","169","186","16398","Robert Pirzer","191","166","7428","716","751","","0","23571113","28888","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-151_Re","BAYL-M-151","Donaubowler Regensburg 1","BC Comet Nürnberg","","Christian Feller","156","208","16007","Dominik Seltmann","187","175","25604","Volkmar Hartfeil","158","191","7830","Marco Hürdler","219","168","25271","720","742","","0","23571113","28887","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-152_Re","BAYL-M-152","Bajuwaren München 1","SG Rottendorf 1","","Hans-Jürgen Glasl","180","199","7408","Hans-Jürgen Glasl sen.","171","171","16762","Ralph Reichert","191","169","7416","Volker Lüthje","179","173","7601","721","712","","0","23571113","28886","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-153_Re","BAYL-M-153","BC EMAX Unterföhring 2","Bowlinghaus Bamberg 1","","Sebastian Lohse","157","194","27134","Robert Pirzer","199","194","7428","Günter Denz","139","136","16398","Ernst Blasits","192","190","25554","687","714","","0","23571113","28885","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-154_Re","BAYL-M-154","BK München 3","SG DJK Rimpar 1","","Peter Börding","201","174","7593","Maximilian Hellmessen","225","196","16912","Georg Hinterwimmer","173","155","7867","Patrick Baszler","198","182","7886","797","707","","0","23571113","28884","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-155_Re","BAYL-M-155","Schanzer Ingolstadt 1","Werdenfels 1","","Oliver Schütze","203","191","38550","Thomas Hartl","156","167","38411","Sebastian Tesinski","155","158","38569","Markus Schmied","154","247","38361","668","763","","0","23571113","28883","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-161_Re","BAYL-M-161","BK München 3","BC EMAX Unterföhring 2","","Peter Börding","158","172","7593","Maximilian Hellmessen","162","150","16912","Georg Hinterwimmer","170","127","7867","Patrick Baszler","189","173","7886","679","622","","0","23571113","28882","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-162_Re","BAYL-M-162","Bowlinghaus Bamberg 1","BC Comet Nürnberg","","William Karl","140","176","16532","Jonathan Nolan","183","174","16873","Thomas Nikoleit","190","147","25516","Alexander Renner","216","135","16251","729","632","","0","23571113","28881","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-163_Re","BAYL-M-163","Schanzer Ingolstadt 1","SG Rottendorf 1","","Oliver Schütze","208","169","38550","Thomas Hartl","189","191","38411","Sebastian Tesinski","173","155","38569","Markus Schmied","147","174","38361","717","689","","0","23571113","28880","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-164_Re","BAYL-M-164","Donaubowler Regensburg 1","Werdenfels 1","","Christian Feller","191","164","16007","Dominik Seltmann","193","146","25604","Volkmar Hartfeil","202","160","7830","Marco Hürdler","200","179","25271","786","649","","0","23571113","28879","2026-02-15 10:48:30","2026-02-15 09:48:30"
"BAYL-M-165_Re","BAYL-M-165","SG DJK Rimpar 1","Bajuwaren München 1","","Sebastian Gräfe","180","194","38687","Nico Plaschka","164","153","38039","Michael Kreß","196","127","10622","Jan-Uwe Werder","212","173","16301","752","647","","0","23571113","28878","2026-02-15 10:48:30","2026-02-15 09:48:30"
